associatedReferences,verbatimTaxonRank,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,7.47,single observation,mm,NA,NA,NA,NA,UCSB-IZC00015239,1996-05-23,F,adult,Isla Vista,34.413329,-119.860972,34.413329,-119.860972,NA,United States,California,Santa Barbara,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252767,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.7,single observation,mm,NA,NA,NA,NA,UCSB-IZC00028559,1982-05-08,M,adult,6678-B Sueno,34.412965,-119.861915,34.412965,-119.861915,NA,United States,California,Santa Barbara,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252768,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.99,single observation,mm,NA,NA,NA,NA,UCSB-IZC00034456,2017-05-21,F,adult,Lake Los Carneros,34.441525 ,-119.847777,34.441525 ,-119.847777,NA,United States,California,Santa Barbara,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.66,single observation,mm,NA,NA,NA,NA,UCSB-IZC00036880,2019-05-20,M,adult,UCSB Greenhouse and Garden Project,34.420488,-119.858613,34.420488,-119.858613,NA,United States,California,Santa Barbara,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.93,single observation,mm,NA,NA,NA,NA,UCSB-IZC00036888,2019-05-20,M,adult,Santa Clara River,34.363902,-118.993442,34.363902,-118.993442,NA,United States,California,Ventura,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,7.17,single observation,mm,NA,NA,NA,NA,UCSB-IZC00041067,NA,F,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,costal vein length,NA,NA,NA,individual,7.51,single observation,mm,NA,NA,NA,NA,LACM ENT 208592,1958-07-22,F,adult,Hilo,NA,NA,NA,NA,NA,United States,Hawaii,Hawaiʻi,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,costal vein length,NA,NA,NA,individual,8.35,single observation,mm,NA,NA,NA,NA,LACM ENT 208593,1997-06-01,F,adult,"Oahu, Koko Crater Bot Garden",21.29°N,157.68°W,NA,NA,NA,United States,Hawaii,Honolulu,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,costal vein length,NA,NA,NA,individual,7.62,single observation,mm,NA,NA,NA,NA,LACM ENT 208594,1978-09-23,M,adult,Hana,NA,NA,NA,NA,NA,United States,Hawaii,Maui,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,costal vein length,NA,NA,NA,individual,7.14,single observation,mm,NA,NA,NA,NA,LACM ENT 208595,1955-07-09,M,adult,Pupukea,NA,NA,NA,NA,NA,United States,Hawaii,Honolulu,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa micans,gbif:1342442,body size,costal vein length,NA,NA,NA,individual,6.13,single observation,mm,NA,NA,NA,NA,LACM ENT 601451,1970-04-18,M,adult,Eastport,NA,NA,NA,NA,NA,United States,Florida,Duval,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa californica arizonensis,gbif:6252702,body size,costal vein length,NA,NA,NA,individual,8.03,single observation,mm,NA,NA,NA,NA,LACM ENT 601454,1930-08-08,F,adult,Pyramid Peak,NA,NA,NA,NA,NA,United States,New Mexico,Dona Ana,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tenuiscapa,gbif:1342411,body size,costal vein length,NA,NA,NA,individual,8.13,single observation,mm,NA,NA,NA,NA,LACM ENT 601458,1971-08-14,F,adult,Chiang Mai University,NA,NA,NA,NA,NA,Thailand,Chiang Mai,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tranquebarica,gbif:1342355,body size,costal vein length,NA,NA,NA,individual,8.01,single observation,mm,NA,NA,NA,NA,LACM ENT 601461,4/24-5/1/1958,F,adult,"Phlio (Prew) Waterfall, 45m",NA,NA,NA,NA,NA,Thailand,Chanthaburi,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa latipes,gbif:1342178,body size,costal vein length,NA,NA,NA,individual,10.12,single observation,mm,NA,NA,NA,NA,LACM ENT 601466,1968-04-23,F,adult,"Khánh Hòa, Cam Ranh Peninsula",NA,NA,NA,NA,NA,Vietnam,Khánh Hòa,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tranquebarica,gbif:1342355,body size,costal vein length,NA,NA,NA,individual,7.74,single observation,mm,NA,NA,NA,NA,LACM ENT 601467,7/21-24/1996,F,adult,Khao Chong Nature Education Centre,07.35°N,99.46°E,NA,NA,NA,Thailand,Trang,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342536,body size,costal vein length,NA,NA,NA,individual,9.38,single observation,mm,NA,NA,NA,NA,LACM ENT 601468,1965-01-01,M,adult,"Pucallpa, 200m",NA,NA,NA,NA,NA,Peru,Loreto,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,costal vein length,NA,NA,NA,individual,5.72,single observation,mm,NA,NA,NA,NA,LACM ENT 601483,1966-08-11,M,adult,Chilpancingo,NA,NA,NA,NA,NA,Mexico,Guerrero,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tranquebarica,gbif:1342355,body size,costal vein length,NA,NA,NA,individual,7.87,single observation,mm,NA,NA,NA,NA,LACM ENT 601484,7/21-24/1996,F,adult,Khao Chong Nature Education Centre,07.35°N,99.46°E,NA,NA,NA,Thailand,Trang,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,costal vein length,NA,NA,NA,individual,7.41,single observation,mm,NA,NA,NA,NA,LACM ENT 601485,1978-09-23,F,adult,Hana,NA,NA,NA,NA,NA,United States,Hawaii,Maui,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,costal vein length,NA,NA,NA,individual,7.61,single observation,mm,NA,NA,NA,NA,LACM ENT 601486,1972-11-26,F,adult,"Grootfontein, 40 km WNW Grootfontein Gaub Farm no. 47",19° 29' S,17° 44' E,NA,NA,NA,Namibia,Otjozondjupa,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa californica arizonensis,gbif:6252697,body size,costal vein length,NA,NA,NA,individual,8.38,single observation,mm,NA,NA,NA,NA,LACM ENT 601491,05/2-3/1964,F,adult,"Can. de Guadalupe, Sierra de Juarez",NA,NA,NA,NA,NA,Mexico,Baja California,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,costal vein length,NA,NA,NA,individual,7.65,single observation,mm,NA,NA,NA,NA,LACM ENT 601494,1965-10-21,F,adult,Iringa,NA,NA,NA,NA,NA,Tanzania,Iringa,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tenuiscapa,gbif:1342411,body size,costal vein length,NA,NA,NA,individual,9.49,single observation,mm,NA,NA,NA,NA,LACM ENT 601495,1961-10-01,M,adult,Coimbatore,NA,NA,NA,NA,NA,India,Coimbatore,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa latipes,gbif:1342178,body size,costal vein length,NA,NA,NA,individual,9.18,single observation,mm,NA,NA,NA,NA,LACM ENT 601497,8/7-14/1958,M,adult,"Borneo, Sarawak, Nanga Pelagus nr. Kapit 180-585m",NA,NA,NA,NA,NA,Malaysia,Sarawak,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tranquebarica,gbif:1342355,body size,costal vein length,NA,NA,NA,individual,9.96,single observation,mm,NA,NA,NA,NA,LACM ENT 601498,03/00/1958,M,adult,Supkhar,NA,NA,NA,NA,NA,India,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa virginica,gbif:1342324,body size,costal vein length,NA,NA,NA,individual,7.18,single observation,mm,NA,NA,NA,NA,LACM ENT 601502,1958-09-14,M,adult,Augusta,NA,NA,NA,NA,NA,United States,Georgia,Augusta-Richmond,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342526,body size,costal vein length,NA,NA,NA,individual,9.78,single observation,mm,NA,NA,NA,NA,LACM ENT 601512,1970-11-03,F,adult,"San Jeronimo, Tacana",NA,NA,NA,NA,NA,Mexico,Chiapas,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252709,body size,costal vein length,NA,NA,NA,individual,6.21,single observation,mm,NA,NA,NA,NA,LACM ENT 601513,1967-02-01,M,adult,"Cn. Guadalupe, Sa. Juarez",NA,NA,NA,NA,NA,Mexico,Baja California,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342540,body size,costal vein length,NA,NA,NA,individual,9.47,single observation,mm,NA,NA,NA,NA,LACM ENT 601514,NA,M,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,costal vein length,NA,NA,NA,individual,7.09,single observation,mm,NA,NA,NA,NA,LACM ENT 601515,1997-06-03,F,adult,"Oahu, Koko Crater Bot Garden",21.29°N,157.68°W,NA,NA,NA,United States,Hawaii,Honolulu,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,costal vein length,NA,NA,NA,individual,6.51,single observation,mm,NA,NA,NA,NA,LACM ENT 601520,1964-08-12,F,adult,Iringa,NA,NA,NA,NA,NA,Tanzania,Iringa,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tranquebarica,gbif:1342355,body size,costal vein length,NA,NA,NA,individual,9.62,single observation,mm,NA,NA,NA,NA,LACM ENT 601521,7/22/ 0000,M,adult,Chiang Mai University campus,NA,NA,NA,NA,NA,Thailand,Chiang Mai,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252700,body size,costal vein length,NA,NA,NA,individual,5.51,single observation,mm,NA,NA,NA,NA,LACM ENT 601525,1952-05-20,M,adult,Turlock,NA,NA,NA,NA,NA,United States,California,Stanislaus,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa californica arizonensis,gbif:6252698,body size,costal vein length,NA,NA,NA,individual,7.72,single observation,mm,NA,NA,NA,NA,LACM ENT 601528,05/2-3/1964,F,adult,"Can. de Guadalupe, Sierra de Juarez",NA,NA,NA,NA,NA,Mexico,Baja California,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tranquebarica,gbif:1342355,body size,costal vein length,NA,NA,NA,individual,8.68,single observation,mm,NA,NA,NA,NA,LACM ENT 601541,7/21-24/1996,F,adult,Khao Chong Nature Education Centre,07.35°N,99.46°E,NA,NA,NA,Thailand,Trang,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252699,body size,costal vein length,NA,NA,NA,individual,6.08,single observation,mm,NA,NA,NA,NA,LACM ENT 601542,1961-04-07,M,adult,"2 mi. SW of Fairfax, near Meadow Club",NA,NA,NA,NA,NA,United States,California,Marin,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252710,body size,costal vein length,NA,NA,NA,individual,5.58,single observation,mm,NA,NA,NA,NA,LACM ENT 601543,1970-04-25,M,adult,Pope Valley,NA,NA,NA,NA,NA,United States,California,Napa,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tranquebarica,gbif:1342355,body size,costal vein length,NA,NA,NA,individual,8.85,single observation,mm,NA,NA,NA,NA,LACM ENT 601544,NA,F,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa sonorina,gbif:9016167,body size,costal vein length,NA,NA,NA,individual,7.52,single observation,mm,NA,NA,NA,NA,LACM ENT 601545,1978-09-23,M,adult,Hana,NA,NA,NA,NA,NA,United States,Hawaii,Maui,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,costal vein length,NA,NA,NA,individual,8.25,single observation,mm,NA,NA,NA,NA,LACM ENT 601546,1965-04-12,F,adult,Iringa,NA,NA,NA,NA,NA,Tanzania,Iringa,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,costal vein length,NA,NA,NA,individual,5.42,single observation,mm,NA,NA,NA,NA,LACM ENT 601548,1968-09-08,M,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tenuiscapa,gbif:1342411,body size,costal vein length,NA,NA,NA,individual,9.46,single observation,mm,NA,NA,NA,NA,LACM ENT 601549,09/00/1961,F,adult,Coimbatore,NA,NA,NA,NA,NA,India,Coimbatore,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,costal vein length,NA,NA,NA,individual,8.52,single observation,mm,NA,NA,NA,NA,LACM ENT 601550,1972-11-10,F,adult,"Karibib Dist., 47 km S Wilhemstal, Okandukaseibe Farm No. 27",22° 20' S,16° 21' E,NA,NA,NA,Namibia,Erongo,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa californica arizonensis,gbif:6252695,body size,costal vein length,NA,NA,NA,individual,7.32,single observation,mm,NA,NA,NA,NA,LACM ENT 601551,05/2-3/1964,F,adult,"Can. de Guadalupe, Sierra de Juarez",NA,NA,NA,NA,NA,Mexico,Baja California,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342533,body size,costal vein length,NA,NA,NA,individual,9.76,single observation,mm,NA,NA,NA,NA,LACM ENT 601555,1958-07-12,M,adult,42 kms. SE. Maturin,NA,NA,NA,NA,NA,Venezuela,Monagas,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa californica arizonensis,gbif:6252696,body size,costal vein length,NA,NA,NA,individual,6.95,single observation,mm,NA,NA,NA,NA,LACM ENT 601558,NA,M,adult,Tumacacori Mountains,NA,NA,NA,NA,NA,United States,Arizona,"Santa Cruz, Pima",NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa inconstans,gbif:1342370,body size,costal vein length,NA,NA,NA,individual,7.94,single observation,mm,NA,NA,NA,NA,LACM ENT 601571,1965-11-14,F,adult,Iringa,NA,NA,NA,NA,NA,Tanzania,Iringa,NA,NA
