catalogNumber,acceptedNameUsage,acceptedNameUsageID,sex,recordLevel,traitName,measurementType,measurementTypeID,measurementRemarks,measurementValue,measurementUnit
LACM ENT 602489,"Xylocopa micans Lepeletier, 1850",GBIF:1342451,male,individual,body size,costal vein length,NA,NA,6.48,millimeters
LACM ENT 602471,"Xylocopa micans Lepeletier, 1851",GBIF:1342452,male,individual,body size,costal vein length,NA,NA,5.69,millimeters
LACM ENT 602478,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.21,millimeters
LACM ENT 602467,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,6.09,millimeters
LACM ENT 602480,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.05,millimeters
LACM ENT 602449,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.87,millimeters
LACM ENT 602479,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,6.59,millimeters
LACM ENT 602443,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,6.06,millimeters
LACM ENT 602465,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.87,millimeters
LACM ENT 602488,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,6.02,millimeters
LACM ENT 602441,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.96,millimeters
LACM ENT 602450,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.68,millimeters
LACM ENT 602491,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,6.13,millimeters
LACM ENT 602496,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.69,millimeters
LACM ENT 602456,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,6.15,millimeters
LACM ENT 601670,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.81,millimeters
LACM ENT 602464,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.85,millimeters
LACM ENT 602457,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.45,millimeters
LACM ENT 602481,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,female,individual,body size,costal vein length,NA,NA,5.51,millimeters
LACM ENT 602427,"Xylocopa ruficornis Fabricius, 1804",GBIF:1342406,female,individual,body size,costal vein length,NA,NA,7.71,millimeters
LACM ENT 208594,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.62,millimeters
LACM ENT 601545,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.52,millimeters
LACM ENT 208595,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.14,millimeters
LACM ENT 602553,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.24,millimeters
LACM ENT 602486,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.31,millimeters
UCSB-IZC00015129,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.98,millimeters
UCSB-IZC00036880,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.07,millimeters
UCSB-IZC00014663,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.09,millimeters
UCSB-IZC00012192,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.58,millimeters
UCSB-IZC00014765,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.62,millimeters
UCSB-IZC00036888,"Xylocopa sonorina Smith, 1874",GBIF:9016167,male,individual,body size,costal vein length,NA,NA,7.51,millimeters
LACM ENT 208593,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,8.35,millimeters
LACM ENT 602472,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,8.27,millimeters
LACM ENT 602498,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.18,millimeters
LACM ENT 208592,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.51,millimeters
LACM ENT 602501,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.96,millimeters
LACM ENT 602542,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,6.44,millimeters
LACM ENT 601485,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.41,millimeters
LACM ENT 601515,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.09,millimeters
LACM ENT 601605,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.33,millimeters
LACM ENT 602556,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.27,millimeters
LACM ENT 601635,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.07,millimeters
LACM ENT 602537,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.26,millimeters
LACM ENT 602508,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.62,millimeters
LACM ENT 602270,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.64,millimeters
UCSB-IZC00012230,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.57,millimeters
UCSB-IZC00012235,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.68,millimeters
UCSB-IZC00014731,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,8.07,millimeters
UCSB-IZC00012292,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.74,millimeters
UCSB-IZC00012207,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,8.19,millimeters
UCSB-IZC00012234,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.14,millimeters
UCSB-IZC00012183,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.06,millimeters
UCSB-IZC00012206,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.51,millimeters
UCSB-IZC00012281,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.42,millimeters
UCSB-IZC00012201,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.29,millimeters
UCSB-IZC00012276,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.61,millimeters
UCSB-IZC00012185,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.83,millimeters
UCSB-IZC00012212,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.35,millimeters
UCSB-IZC00012220,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.52,millimeters
UCSB-IZC00012209,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.34,millimeters
UCSB-IZC00015052,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.82,millimeters
UCSB-IZC00015025,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,6.72,millimeters
UCSB-IZC00014719,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,8.17,millimeters
UCSB-IZC00015239,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.64,millimeters
UCSB-IZC00012270,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.41,millimeters
UCSB-IZC No Number (41067?),"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.08,millimeters
UCSB-IZC00012222,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,8.04,millimeters
UCSB-IZC00011271,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.21,millimeters
UCSB-IZC00015006,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.26,millimeters
UCSB-IZC00015225,"Xylocopa sonorina Smith, 1874",GBIF:9016167,female,individual,body size,costal vein length,NA,NA,7.52,millimeters
UCSB-IZC00012193,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252699,female,individual,body size,costal vein length,NA,NA,4.88,millimeters
UCSB-IZC00011309,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252700,female,individual,body size,costal vein length,NA,NA,5.46,millimeters
UCSB-IZC00010301,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252701,female,individual,body size,costal vein length,NA,NA,5.13,millimeters
UCSB-IZC00010315,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252702,female,individual,body size,costal vein length,NA,NA,5.31,millimeters
UCSB-IZC00012232,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252703,female,individual,body size,costal vein length,NA,NA,5.41,millimeters
UCSB-IZC00012240,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252704,female,individual,body size,costal vein length,NA,NA,5.06,millimeters
UCSB-IZC00012195,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252705,female,individual,body size,costal vein length,NA,NA,5.67,millimeters
UCSB-IZC00012225,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252706,female,individual,body size,costal vein length,NA,NA,5.27,millimeters
UCSB-IZC00012228,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252707,female,individual,body size,costal vein length,NA,NA,5.48,millimeters
UCSB-IZC00012213,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252708,female,individual,body size,costal vein length,NA,NA,5.16,millimeters
UCSB-IZC00010437,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252709,female,individual,body size,costal vein length,NA,NA,5.44,millimeters
UCSB-IZC00010266,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252710,female,individual,body size,costal vein length,NA,NA,5.59,millimeters
UCSB-IZC00012203,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252711,female,individual,body size,costal vein length,NA,NA,4.72,millimeters
UCSB-IZC00014978,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252712,female,individual,body size,costal vein length,NA,NA,4.61,millimeters
UCSB-IZC00014785,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252713,female,individual,body size,costal vein length,NA,NA,5.45,millimeters
UCSB-IZC00014787,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252714,female,individual,body size,costal vein length,NA,NA,5.44,millimeters
UCSB-IZC00010827,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252715,female,individual,body size,costal vein length,NA,NA,5.64,millimeters
UCSB-IZC00014711,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252716,female,individual,body size,costal vein length,NA,NA,5.45,millimeters
UCSB-IZC00012237,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252717,female,individual,body size,costal vein length,NA,NA,5.59,millimeters
UCSB-IZC00010876,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252718,female,individual,body size,costal vein length,NA,NA,5.29,millimeters
UCSB-IZC00012221,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252719,female,individual,body size,costal vein length,NA,NA,5.19,millimeters
UCSB-IZC00010896,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252720,female,individual,body size,costal vein length,NA,NA,5.15,millimeters
UCSB-IZC00012216,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252721,female,individual,body size,costal vein length,NA,NA,5.67,millimeters
UCSB-IZC00012219,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252722,female,individual,body size,costal vein length,NA,NA,5.68,millimeters
UCSB-IZC00034456,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252723,female,individual,body size,costal vein length,NA,NA,5.69,millimeters
LACM ENT 601542,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252724,male,individual,body size,costal vein length,NA,NA,6.08,millimeters
LACM ENT 601525,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252725,male,individual,body size,costal vein length,NA,NA,5.51,millimeters
LACM ENT 601645,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252726,male,individual,body size,costal vein length,NA,NA,5.65,millimeters
LACM ENT 602434,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252727,male,individual,body size,costal vein length,NA,NA,5.63,millimeters
LACM ENT 602421,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252728,male,individual,body size,costal vein length,NA,NA,5.88,millimeters
LACM ENT 602412,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252729,male,individual,body size,costal vein length,NA,NA,5.72,millimeters
LACM ENT 602385,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252730,male,individual,body size,costal vein length,NA,NA,5.69,millimeters
LACM ENT 602436,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252731,male,individual,body size,costal vein length,NA,NA,6.09,millimeters
LACM ENT 602408,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252732,male,individual,body size,costal vein length,NA,NA,5.77,millimeters
LACM ENT 602396,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252733,male,individual,body size,costal vein length,NA,NA,5.81,millimeters
LACM ENT 601513,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252734,male,individual,body size,costal vein length,NA,NA,6.21,millimeters
LACM ENT 601543,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252735,male,individual,body size,costal vein length,NA,NA,5.58,millimeters
LACM ENT 602429,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252736,male,individual,body size,costal vein length,NA,NA,6.04,millimeters
LACM ENT 602431,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252737,male,individual,body size,costal vein length,NA,NA,5.47,millimeters
LACM ENT 602416,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252738,male,individual,body size,costal vein length,NA,NA,5.29,millimeters
LACM ENT 601609,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252739,male,individual,body size,costal vein length,NA,NA,5.18,millimeters
LACM ENT 602381,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252740,male,individual,body size,costal vein length,NA,NA,5.49,millimeters
LACM ENT 601578,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252741,male,individual,body size,costal vein length,NA,NA,5.89,millimeters
LACM ENT 602426,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252742,male,individual,body size,costal vein length,NA,NA,5.47,millimeters
LACM ENT 602399,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252743,male,individual,body size,costal vein length,NA,NA,6.06,millimeters
UCSB-IZC00010398,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252744,male,individual,body size,costal vein length,NA,NA,5.37,millimeters
UCSB-IZC00009197,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252745,male,individual,body size,costal vein length,NA,NA,5.04,millimeters
UCSB-IZC00010406,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252746,male,individual,body size,costal vein length,NA,NA,4.78,millimeters
UCSB-IZC00009235,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252747,male,individual,body size,costal vein length,NA,NA,5.38,millimeters
UCSB-IZC00010293,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252748,male,individual,body size,costal vein length,NA,NA,4.34,millimeters
UCSB-IZC00010514,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252749,male,individual,body size,costal vein length,NA,NA,5.23,millimeters
UCSB-IZC00010449,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252750,male,individual,body size,costal vein length,NA,NA,5.22,millimeters
UCSB-IZC00009230,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252751,male,individual,body size,costal vein length,NA,NA,5.17,millimeters
UCSB-IZC00010296,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252752,male,individual,body size,costal vein length,NA,NA,4.86,millimeters
UCSB-IZC00010388,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252753,male,individual,body size,costal vein length,NA,NA,5.51,millimeters
UCSB-IZC00009234,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252754,male,individual,body size,costal vein length,NA,NA,5.24,millimeters
UCSB-IZC00009202,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252755,male,individual,body size,costal vein length,NA,NA,5.38,millimeters
UCSB-IZC00009216,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252756,male,individual,body size,costal vein length,NA,NA,4.87,millimeters
UCSB-IZC00009786,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252757,male,individual,body size,costal vein length,NA,NA,5.35,millimeters
UCSB-IZC00010308,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252758,male,individual,body size,costal vein length,NA,NA,4.22,millimeters
UCSB-IZC00009815,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252759,male,individual,body size,costal vein length,NA,NA,5.79,millimeters
UCSB-IZC00009186,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252760,male,individual,body size,costal vein length,NA,NA,4.36,millimeters
UCSB-IZC00009084,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252761,male,individual,body size,costal vein length,NA,NA,5.54,millimeters
UCSB-IZC00009805,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252762,male,individual,body size,costal vein length,NA,NA,5.62,millimeters
UCSB-IZC00009196,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252763,male,individual,body size,costal vein length,NA,NA,5.37,millimeters
UCSB-IZC00010541,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252764,male,individual,body size,costal vein length,NA,NA,5.41,millimeters
UCSB-IZC00010424,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252765,male,individual,body size,costal vein length,NA,NA,5.58,millimeters
UCSB-IZC00014831,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252766,male,individual,body size,costal vein length,NA,NA,5.44,millimeters
UCSB-IZC00014669,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252767,male,individual,body size,costal vein length,NA,NA,5.25,millimeters
UCSB-IZC00028559,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252768,male,individual,body size,costal vein length,NA,NA,5.21,millimeters
UCSB-IZC00014975,"Xylocopa tabaniformis subsp. orpifex Smith, 1874",GBIF:6252769,male,individual,body size,costal vein length,NA,NA,5.06,millimeters
LACM ENT 602425,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,6.11,millimeters
LACM ENT 602423,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,5.78,millimeters
LACM ENT 602439,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,5.77,millimeters
LACM ENT 602376,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,6.51,millimeters
LACM ENT 602351,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,6.54,millimeters
LACM ENT 602435,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,5.68,millimeters
LACM ENT 602417,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,5.67,millimeters
LACM ENT 601585,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,5.61,millimeters
LACM ENT 602398,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,female,individual,body size,costal vein length,NA,NA,5.86,millimeters
LACM ENT 601483,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.72,millimeters
LACM ENT 602379,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,6.49,millimeters
LACM ENT 602413,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,6.19,millimeters
LACM ENT 602389,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,6.15,millimeters
LACM ENT 602383,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.78,millimeters
LACM ENT 602404,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.98,millimeters
LACM ENT 602373,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.68,millimeters
LACM ENT 602422,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.81,millimeters
LACM ENT 602437,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.37,millimeters
LACM ENT 602407,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.64,millimeters
LACM ENT 601548,Xylocopa tabaniformis subsp. tabaniformis,GBIF:7046587,male,individual,body size,costal vein length,NA,NA,5.42,millimeters
LACM ENT 602397,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,10.34,millimeters
LACM ENT 601638,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,8.86,millimeters
LACM ENT 602388,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,8.89,millimeters
LACM ENT 602362,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,9.79,millimeters
LACM ENT 602358,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,9.4,millimeters
LACM ENT 601549,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,9.46,millimeters
LACM ENT 602390,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,10.47,millimeters
LACM ENT 602432,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,9.74,millimeters
LACM ENT 601458,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,female,individual,body size,costal vein length,NA,NA,8.13,millimeters
LACM ENT 601495,"Xylocopa tenuiscapa Westwood, 1840",GBIF:1342411,male,individual,body size,costal vein length,NA,NA,9.49,millimeters
LACM ENT 601461,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,8.01,millimeters
LACM ENT 601484,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,7.87,millimeters
LACM ENT 601574,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,7.36,millimeters
LACM ENT 601544,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,8.85,millimeters
LACM ENT 601664,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,8.17,millimeters
LACM ENT 601678,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,7.25,millimeters
LACM ENT 601467,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,7.74,millimeters
LACM ENT 601584,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,8.42,millimeters
LACM ENT 601647,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,7.76,millimeters
LACM ENT 601541,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,female,individual,body size,costal vein length,NA,NA,8.68,millimeters
LACM ENT 601521,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,male,individual,body size,costal vein length,NA,NA,9.62,millimeters
LACM ENT 601618,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,male,individual,body size,costal vein length,NA,NA,9.13,millimeters
LACM ENT 601498,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,male,individual,body size,costal vein length,NA,NA,9.96,millimeters
LACM ENT 601588,"Xylocopa tranquebarica (Fabricius, 1804)",GBIF:1342355,male,individual,body size,costal vein length,NA,NA,10.33,millimeters
LACM ENT 601839,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,6.91,millimeters
LACM ENT 602568,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.32,millimeters
LACM ENT 601768,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.04,millimeters
LACM ENT 601710,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,6.87,millimeters
LACM ENT 601761,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.29,millimeters
LACM ENT 602557,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.15,millimeters
